date_parsed,nama_provinsi,tahun,bulan,produksi_padi
2019-04-01,KABUPATEN BANDUNG BARAT,2019,4,22827.0
2019-05-01,KABUPATEN BANDUNG BARAT,2019,5,7445.0
2019-06-01,KABUPATEN BANDUNG BARAT,2019,6,11640.0
2019-07-01,KABUPATEN BANDUNG BARAT,2019,7,17234.0
2019-08-01,KABUPATEN BANDUNG BARAT,2019,8,13800.0
2019-09-01,KABUPATEN BANDUNG BARAT,2019,9,9004.0
2019-10-01,KABUPATEN BANDUNG BARAT,2019,10,8957.0
2019-11-01,KABUPATEN BANDUNG BARAT,2019,11,7229.0
2019-12-01,KABUPATEN BANDUNG BARAT,2019,12,4702.0
2020-01-01,KABUPATEN BANDUNG BARAT,2020,1,11937.0
2020-02-01,KABUPATEN BANDUNG BARAT,2020,2,7716.0
2020-03-01,KABUPATEN BANDUNG BARAT,2020,3,14455.0
2020-04-01,KABUPATEN BANDUNG BARAT,2020,4,35696.0
2020-05-01,KABUPATEN BANDUNG BARAT,2020,5,13091.0
2020-06-01,KABUPATEN BANDUNG BARAT,2020,6,7456.0
2020-07-01,KABUPATEN BANDUNG BARAT,2020,7,23852.0
2020-08-01,KABUPATEN BANDUNG BARAT,2020,8,19337.0
2020-09-01,KABUPATEN BANDUNG BARAT,2020,9,14602.0
2020-10-01,KABUPATEN BANDUNG BARAT,2020,10,7542.0
2020-11-01,KABUPATEN BANDUNG BARAT,2020,11,3439.0
2020-12-01,KABUPATEN BANDUNG BARAT,2020,12,5518.0
2021-01-01,KABUPATEN BANDUNG BARAT,2021,1,11137.0
2021-02-01,KABUPATEN BANDUNG BARAT,2021,2,7319.0
2021-03-01,KABUPATEN BANDUNG BARAT,2021,3,30475.0
2021-04-01,KABUPATEN BANDUNG BARAT,2021,4,12958.0
2021-05-01,KABUPATEN BANDUNG BARAT,2021,5,9917.0
2021-06-01,KABUPATEN BANDUNG BARAT,2021,6,9616.0
2021-07-01,KABUPATEN BANDUNG BARAT,2021,7,27900.0
2021-08-01,KABUPATEN BANDUNG BARAT,2021,8,8000.0
2021-09-01,KABUPATEN BANDUNG BARAT,2021,9,7935.0
2021-10-01,KABUPATEN BANDUNG BARAT,2021,10,8586.0
2021-11-01,KABUPATEN BANDUNG BARAT,2021,11,5833.0
2021-12-01,KABUPATEN BANDUNG BARAT,2021,12,6818.0
2022-01-01,KABUPATEN BANDUNG BARAT,2022,1,6305.0
2022-02-01,KABUPATEN BANDUNG BARAT,2022,2,10875.0
2022-03-01,KABUPATEN BANDUNG BARAT,2022,3,33259.0
2022-04-01,KABUPATEN BANDUNG BARAT,2022,4,9518.0
