tanggal,actual,forecast
2023-06-01,746265.5,738629.9203542187
2023-07-01,893445.0,999326.5568508508
2023-08-01,646657.5,846210.8250980683
2023-09-01,714232.0,845488.134970631
2023-10-01,780148.1300000001,683037.5935629875
2023-11-01,513739.0,596317.1723788651
2023-12-01,361616.72,408144.72536935814
