nama_kabupaten_kota,tanggal,forecast
KABUPATEN INDRAMAYU,2023-01-01,3091.3994389756467
KABUPATEN INDRAMAYU,2023-02-01,16618.17329218641
KABUPATEN INDRAMAYU,2023-03-01,165111.96549165514
KABUPATEN INDRAMAYU,2023-04-01,353212.13555366156
KABUPATEN INDRAMAYU,2023-05-01,133271.2631100923
KABUPATEN INDRAMAYU,2023-06-01,51589.651316106196
KABUPATEN INDRAMAYU,2023-07-01,86809.02735599017
KABUPATEN INDRAMAYU,2023-08-01,136591.29430852886
KABUPATEN INDRAMAYU,2023-09-01,244685.52004983992
KABUPATEN INDRAMAYU,2023-10-01,70691.14240308906
KABUPATEN INDRAMAYU,2023-11-01,51098.175134915946
KABUPATEN INDRAMAYU,2023-12-01,6844.920075916892
KABUPATEN KARAWANG,2023-01-01,89791.26895119325
KABUPATEN KARAWANG,2023-02-01,11725.14623322729
KABUPATEN KARAWANG,2023-03-01,51332.708124833116
KABUPATEN KARAWANG,2023-04-01,102452.94757235063
KABUPATEN KARAWANG,2023-05-01,133164.58747377296
KABUPATEN KARAWANG,2023-06-01,157647.75904379957
KABUPATEN KARAWANG,2023-07-01,111742.85079687623
KABUPATEN KARAWANG,2023-08-01,25495.938578845853
KABUPATEN KARAWANG,2023-09-01,61575.664872977584
KABUPATEN KARAWANG,2023-10-01,92562.57193489243
KABUPATEN KARAWANG,2023-11-01,133657.7444261099
KABUPATEN KARAWANG,2023-12-01,141854.587281185
KABUPATEN KUNINGAN,2023-01-01,1044.2403940498978
KABUPATEN KUNINGAN,2023-02-01,7431.347459782806
KABUPATEN KUNINGAN,2023-03-01,41555.09228011453
KABUPATEN KUNINGAN,2023-04-01,32300.369066345505
KABUPATEN KUNINGAN,2023-05-01,16098.912500327051
KABUPATEN KUNINGAN,2023-06-01,14353.229493888672
KABUPATEN KUNINGAN,2023-07-01,39428.48096498729
KABUPATEN KUNINGAN,2023-08-01,21163.137107581926
KABUPATEN KUNINGAN,2023-09-01,13590.453775296715
KABUPATEN KUNINGAN,2023-10-01,7087.924312389462
KABUPATEN KUNINGAN,2023-11-01,9663.318578839775
KABUPATEN KUNINGAN,2023-12-01,6767.784945959779
KABUPATEN MAJALENGKA,2023-01-01,10338.518360251943
KABUPATEN MAJALENGKA,2023-02-01,11761.579504824636
KABUPATEN MAJALENGKA,2023-03-01,164031.5299961766
KABUPATEN MAJALENGKA,2023-04-01,81470.63376566391
KABUPATEN MAJALENGKA,2023-05-01,29532.391607909256
KABUPATEN MAJALENGKA,2023-06-01,29445.10780239114
KABUPATEN MAJALENGKA,2023-07-01,129975.12889235988
KABUPATEN MAJALENGKA,2023-08-01,68925.55973293184
KABUPATEN MAJALENGKA,2023-09-01,22478.709172525454
KABUPATEN MAJALENGKA,2023-10-01,10751.494537931365
KABUPATEN MAJALENGKA,2023-11-01,18392.629572874368
KABUPATEN MAJALENGKA,2023-12-01,12515.682830208936
KABUPATEN PANGANDARAN,2023-01-01,1487.9878674252789
KABUPATEN PANGANDARAN,2023-02-01,9286.260097604507
KABUPATEN PANGANDARAN,2023-03-01,30477.866523999553
KABUPATEN PANGANDARAN,2023-04-01,13199.832527209324
KABUPATEN PANGANDARAN,2023-05-01,5710.958363383245
KABUPATEN PANGANDARAN,2023-06-01,2338.4590195768556
KABUPATEN PANGANDARAN,2023-07-01,11797.71512546582
KABUPATEN PANGANDARAN,2023-08-01,24922.28212231924
KABUPATEN PANGANDARAN,2023-09-01,15520.532132793882
KABUPATEN PANGANDARAN,2023-10-01,5648.065824355768
KABUPATEN PANGANDARAN,2023-11-01,2527.509054187805
KABUPATEN PANGANDARAN,2023-12-01,2005.1914755451526
KABUPATEN PURWAKARTA,2023-01-01,1100.127345465774
KABUPATEN PURWAKARTA,2023-02-01,6268.524499344434
KABUPATEN PURWAKARTA,2023-03-01,34161.26524833321
KABUPATEN PURWAKARTA,2023-04-01,33071.77262092366
KABUPATEN PURWAKARTA,2023-05-01,12109.966054856463
KABUPATEN PURWAKARTA,2023-06-01,10075.390262108234
KABUPATEN PURWAKARTA,2023-07-01,26309.311153145092
KABUPATEN PURWAKARTA,2023-08-01,33158.68681376897
KABUPATEN PURWAKARTA,2023-09-01,13102.692063399025
KABUPATEN PURWAKARTA,2023-10-01,6106.2529403003455
KABUPATEN PURWAKARTA,2023-11-01,5720.593758209397
KABUPATEN PURWAKARTA,2023-12-01,4393.519833343335
KABUPATEN SUBANG,2023-01-01,21806.49351710979
KABUPATEN SUBANG,2023-02-01,26765.521761266296
KABUPATEN SUBANG,2023-03-01,100765.92951802944
KABUPATEN SUBANG,2023-04-01,165556.41701525715
KABUPATEN SUBANG,2023-05-01,144609.01016069748
